Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Nelson County,16942,Valid,Typical meteorite,"Iron, IIIF",73030,Found,Found: the meteorite's fall was not observed,1856,37.750000,-85.500000,"(37.750000, -85.500000)"
Les Ormes,12769,Valid,Typical meteorite,L6,125,Fell,Fell: the meteorite's fall was observed ,1857,48.350000,3.250000,"(48.350000, 3.250000)"
Heredia,11875,Valid,Typical meteorite,H5,1000,Fell,Fell: the meteorite's fall was observed ,1857,10.000000,-84.100000,"(10.000000, -84.100000)"
Stavropol,23717,Valid,Typical meteorite,L6,1500,Fell,Fell: the meteorite's fall was observed ,1857,45.050000,41.983330,"(45.050000, 41.983330)"
Kaba,12218,Valid,Typical meteorite,CV3,3000,Fell,Fell: the meteorite's fall was observed ,1857,47.350000,21.300000,"(47.350000, 21.300000)"
Quenggouk,22358,Valid,Typical meteorite,H4,6045,Fell,Fell: the meteorite's fall was observed ,1857,17.766670,95.183330,"(17.766670, 95.183330)"
Ohaba,17995,Valid,Typical meteorite,H5,16250,Fell,Fell: the meteorite's fall was observed ,1857,46.066670,23.583330,"(46.066670, 23.583330)"
Parnallee,18108,Valid,Typical meteorite,LL3.6,77600,Fell,Fell: the meteorite's fall was observed ,1857,9.233330,78.350000,"(9.233330, 78.350000)"
Laurens County,12741,Valid,Typical meteorite,"Iron, ungrouped",2150,Found,Found: the meteorite's fall was not observed,1857,34.500000,-82.033330,"(34.500000, -82.033330)"
Locust Grove,14673,Valid,Typical meteorite,"Iron, IIAB",10000,Found,Found: the meteorite's fall was not observed,1857,33.333330,-84.100000,"(33.333330, -84.100000)"
Mincy,16694,Valid,Typical meteorite,Mesosiderite-B4,89400,Found,Found: the meteorite's fall was not observed,1857,36.550000,-93.100000,"(36.550000, -93.100000)"
Zmenj,30411,Valid,Typical meteorite,Howardite,246,Fell,Fell: the meteorite's fall was observed ,1858,51.833330,26.833330,"(51.833330, 26.833330)"
Kakowa,12231,Valid,Typical meteorite,L6,577,Fell,Fell: the meteorite's fall was observed ,1858,45.133330,21.666670,"(45.133330, 21.666670)"
Ausson,4903,Valid,Typical meteorite,L5,50000,Fell,Fell: the meteorite's fall was observed ,1858,43.083330,0.583330,"(43.083330, 0.583330)"
Molina,16715,Valid,Typical meteorite,H5,144000,Fell,Fell: the meteorite's fall was observed ,1858,38.116670,-1.166670,"(38.116670, -1.166670)"
Joel's Iron,12175,Valid,Typical meteorite,"Iron, IIIAB",1300,Found,Found: the meteorite's fall was not observed,1858,-24.000000,-69.000000,"(-24.000000, -69.000000)"
Wooster,24336,Valid,Typical meteorite,"Iron, IAB-sLL",22700,Found,Found: the meteorite's fall was not observed,1858,40.766670,-81.950000,"(40.766670, -81.950000)"
Augusta County,4897,Valid,Typical meteorite,"Iron, IIIAB",76000,Found,Found: the meteorite's fall was not observed,1858,38.166670,-79.083330,"(38.166670, -79.083330)"
Trenton,24045,Valid,Typical meteorite,"Iron, IIIAB",505000,Found,Found: the meteorite's fall was not observed,1858,43.366670,-88.133330,"(43.366670, -88.133330)"
Harrison County,11842,Valid,Typical meteorite,L6,680,Fell,Fell: the meteorite's fall was observed ,1859,38.250000,-86.166670,"(38.250000, -86.166670)"
Beuste,5034,Valid,Typical meteorite,L5,2000,Fell,Fell: the meteorite's fall was observed ,1859,43.216670,-0.233330,"(43.216670, -0.233330)"
Pampanga,18093,Valid,Typical meteorite,L5,10500,Fell,Fell: the meteorite's fall was observed ,1859,15.083330,120.700000,"(15.083330, 120.700000)"
Bethlehem,5032,Valid,Typical meteorite,H,13.9,Fell,Fell: the meteorite's fall was observed ,1859,42.533330,-73.833330,"(42.533330, -73.833330)"
Tombigbee River,24021,Valid,Typical meteorite,"Iron, IIG",43000,Found,Found: the meteorite's fall was not observed,1859,32.233330,-88.200000,"(32.233330, -88.200000)"
Kusiali,12382,Valid,Typical meteorite,L6,5,Fell,Fell: the meteorite's fall was observed ,1860,29.683330,78.383330,"(29.683330, 78.383330)"
Sologne,23663,Valid,Typical meteorite,H5,54,Fell,Fell: the meteorite's fall was observed ,1860,47.366670,1.733330,"(47.366670, 1.733330)"
Kheragur,12294,Valid,Typical meteorite,L6,450,Fell,Fell: the meteorite's fall was observed ,1860,26.950000,77.883330,"(26.950000, 77.883330)"
Alessandria,463,Valid,Typical meteorite,H5,908,Fell,Fell: the meteorite's fall was observed ,1860,44.883330,8.750000,"(44.883330, 8.750000)"
Dhurmsala,7640,Valid,Typical meteorite,LL6,32000,Fell,Fell: the meteorite's fall was observed ,1860,32.233330,76.466670,"(32.233330, 76.466670)"
New Concord,16953,Valid,Typical meteorite,L6,230000,Fell,Fell: the meteorite's fall was observed ,1860,40.000000,-81.766670,"(40.000000, -81.766670)"
Victoria West,24171,Valid,Typical meteorite,"Iron, IAB-sHL",2950,Found,Found: the meteorite's fall was not observed,1860,-31.700000,23.750000,"(-31.700000, 23.750000)"
Marshall County,15433,Valid,Typical meteorite,"Iron, IIIAB",6800,Found,Found: the meteorite's fall was not observed,1860,37.000000,-88.250000,"(37.000000, -88.250000)"
Coopertown,5438,Valid,Typical meteorite,"Iron, IIIE",16800,Found,Found: the meteorite's fall was not observed,1860,36.433330,-87.000000,"(36.433330, -87.000000)"
La Grange,12399,Valid,Typical meteorite,"Iron, IVA",50800,Found,Found: the meteorite's fall was not observed,1860,38.400000,-85.366670,"(38.400000, -85.366670)"
Cleveland,5379,Valid,Typical meteorite,"Iron, IIIAB",115000,Found,Found: the meteorite's fall was not observed,1860,34.883330,-84.783330,"(34.883330, -84.783330)"
Meerut,15469,Valid,Typical meteorite,H5,22,Fell,Fell: the meteorite's fall was observed ,1861,29.016670,77.800000,"(29.016670, 77.800000)"
Cañellas,5251,Valid,Typical meteorite,H4,945,Fell,Fell: the meteorite's fall was observed ,1861,41.250000,1.666670,"(41.250000, 1.666670)"
Grosnaja,11206,Valid,Typical meteorite,CV3,3500,Fell,Fell: the meteorite's fall was observed ,1861,43.666670,45.383330,"(43.666670, 45.383330)"
Butsura,5183,Valid,Typical meteorite,H6,29000,Fell,Fell: the meteorite's fall was observed ,1861,27.083330,84.083330,"(27.083330, 84.083330)"
Lutschaunig's Stone,14762,Valid,Typical meteorite,L6,100000,Found,Found: the meteorite's fall was not observed,1861,-27.000000,-70.000000,"(-27.000000, -70.000000)"
Vaca Muerta,24142,Valid,Typical meteorite,Mesosiderite-A1,3828000,Found,Found: the meteorite's fall was not observed,1861,-25.750000,-70.500000,"(-25.750000, -70.500000)"
Sevilla,23508,Valid,Typical meteorite,LL4,180,Fell,Fell: the meteorite's fall was observed ,1862,37.416670,-6.000000,"(37.416670, -6.000000)"
Menow,15485,Valid,Typical meteorite,H4,10500,Fell,Fell: the meteorite's fall was observed ,1862,53.183330,13.150000,"(53.183330, 13.150000)"
Kokomo,12340,Valid,Typical meteorite,"Iron, IVB",1800,Found,Found: the meteorite's fall was not observed,1862,40.483330,-86.366670,"(40.483330, -86.366670)"
Pulsora,18899,Valid,Typical meteorite,H5,560,Fell,Fell: the meteorite's fall was observed ,1863,23.366670,75.183330,"(23.366670, 75.183330)"
Manbhoom,15402,Valid,Typical meteorite,LL6,1700,Fell,Fell: the meteorite's fall was observed ,1863,23.050000,86.700000,"(23.050000, 86.700000)"
Shytal,23584,Valid,Typical meteorite,L6,3200,Fell,Fell: the meteorite's fall was observed ,1863,24.333330,90.166670,"(24.333330, 90.166670)"
Buschhof,5178,Valid,Typical meteorite,L6,5000,Fell,Fell: the meteorite's fall was observed ,1863,46.450000,25.783330,"(46.450000, 25.783330)"
Tourinnes-la-Grosse,24038,Valid,Typical meteorite,L6,14500,Fell,Fell: the meteorite's fall was observed ,1863,50.783330,4.766670,"(50.783330, 4.766670)"
Pillistfer,18822,Valid,Typical meteorite,EL6,23250,Fell,Fell: the meteorite's fall was observed ,1863,58.666670,25.733330,"(58.666670, 25.733330)"
Tomhannock Creek,24022,Valid,Typical meteorite,H5,1500,Found,Found: the meteorite's fall was not observed,1863,42.883330,-73.600000,"(42.883330, -73.600000)"
St. Francois County,23085,Valid,Typical meteorite,"Iron, IC",3600,Found,Found: the meteorite's fall was not observed,1863,37.750000,-90.500000,"(37.750000, -90.500000)"
Smith's Mountain,23652,Valid,Typical meteorite,"Iron, IIIAB",5000,Found,Found: the meteorite's fall was not observed,1863,36.416670,-80.000000,"(36.416670, -80.000000)"
Wairarapa Valley,24199,Valid,Typical meteorite,H6,6000,Found,Found: the meteorite's fall was not observed,1863,-41.316670,175.133330,"(-41.316670, 175.133330)"
Russel Gulch,22788,Valid,Typical meteorite,"Iron, IIIAB",13200,Found,Found: the meteorite's fall was not observed,1863,39.800000,-105.500000,"(39.800000, -105.500000)"
Copiapo,5442,Valid,Typical meteorite,"Iron, IAB-MG",20000,Found,Found: the meteorite's fall was not observed,1863,-27.300000,-70.400000,"(-27.300000, -70.400000)"
Obernkirchen,17976,Valid,Typical meteorite,"Iron, IVA",41000,Found,Found: the meteorite's fall was not observed,1863,52.266670,9.100000,"(52.266670, 9.100000)"
Wabar,24194,Valid,Typical meteorite,"Iron, IIIAB",2550000,Found,Found: the meteorite's fall was not observed,1863,21.499720,50.472220,"(21.499720, 50.472220)"
Bacubirito,4919,Valid,Typical meteorite,"Iron, ungrouped",22000000,Found,Found: the meteorite's fall was not observed,1863,26.200000,-107.833330,"(26.200000, -107.833330)"
Dolgovoli,7659,Valid,Typical meteorite,L6,1600,Fell,Fell: the meteorite's fall was observed ,1864,50.750000,25.300000,"(50.750000, 25.300000)"
Nerft,16945,Valid,Typical meteorite,L6,10250,Fell,Fell: the meteorite's fall was observed ,1864,56.500000,21.500000,"(56.500000, 21.500000)"
Orgueil,18026,Valid,Typical meteorite,CI1,14000,Fell,Fell: the meteorite's fall was observed ,1864,43.883330,1.383330,"(43.883330, 1.383330)"
Tamentit,23798,Valid,Typical meteorite,"Iron, IIIAB",510000,Found,Found: the meteorite's fall was not observed,1864,27.716670,-0.250000,"(27.716670, -0.250000)"
Vernon County,24168,Valid,Typical meteorite,H6,1500,Fell,Fell: the meteorite's fall was observed ,1865,43.500000,-91.166670,"(43.500000, -91.166670)"
Gopalpur,10948,Valid,Typical meteorite,H6,1600,Fell,Fell: the meteorite's fall was observed ,1865,24.233330,89.050000,"(24.233330, 89.050000)"
Dundrum,7745,Valid,Typical meteorite,H5,2270,Fell,Fell: the meteorite's fall was observed ,1865,52.550000,-8.033330,"(52.550000, -8.033330)"
Muddoor,16841,Valid,Typical meteorite,L5,4400,Fell,Fell: the meteorite's fall was observed ,1865,12.633330,77.016670,"(12.633330, 77.016670)"
Shergotty,23530,Valid,Typical meteorite,Martian (shergottite),5000,Fell,Fell: the meteorite's fall was observed ,1865,24.550000,84.833330,"(24.550000, 84.833330)"
Supuhee,23760,Valid,Typical meteorite,H6,7235,Fell,Fell: the meteorite's fall was observed ,1865,26.716670,84.216670,"(26.716670, 84.216670)"
Aumale,4899,Valid,Typical meteorite,L6,50000,Fell,Fell: the meteorite's fall was observed ,1865,36.166670,3.666670,"(36.166670, 3.666670)"
Dellys,6643,Valid,Typical meteorite,Iron,76,Found,Found: the meteorite's fall was not observed,1865,36.916670,3.916670,"(36.916670, 3.916670)"
Jamkheir,12072,Valid,Typical meteorite,H6,22,Fell,Fell: the meteorite's fall was observed ,1866,18.750000,75.333330,"(18.750000, 75.333330)"
Pokhra,18858,Valid,Typical meteorite,H5,350,Fell,Fell: the meteorite's fall was observed ,1866,26.716670,82.666670,"(26.716670, 82.666670)"
Udipi,24104,Valid,Typical meteorite,H5,3600,Fell,Fell: the meteorite's fall was observed ,1866,13.483330,74.783330,"(13.483330, 74.783330)"
St. Mesmin,23092,Valid,Typical meteorite,LL6,8300,Fell,Fell: the meteorite's fall was observed ,1866,48.450000,3.933330,"(48.450000, 3.933330)"
Sone,23667,Valid,Typical meteorite,H5,17100,Fell,Fell: the meteorite's fall was observed ,1866,35.166670,135.333330,"(35.166670, 135.333330)"
Cangas de Onis,5252,Valid,Typical meteorite,H5,34000,Fell,Fell: the meteorite's fall was observed ,1866,43.383330,-5.150000,"(43.383330, -5.150000)"
Knyahinya,12335,Valid,Typical meteorite,L/LL5,500000,Fell,Fell: the meteorite's fall was observed ,1866,48.900000,22.400000,"(48.900000, 22.400000)"
Rushville,22787,Valid,Typical meteorite,L5,50,Found,Found: the meteorite's fall was not observed,1866,39.616670,-85.450000,"(39.616670, -85.450000)"
Dehesa,6638,Valid,Typical meteorite,"Iron, ungrouped",280,Found,Found: the meteorite's fall was not observed,1866,-33.500000,-70.500000,"(-33.500000, -70.500000)"
Frankfort (iron),10176,Valid,Typical meteorite,"Iron, IIIAB",10900,Found,Found: the meteorite's fall was not observed,1866,38.200000,-84.833330,"(38.200000, -84.833330)"
Juncal,12211,Valid,Typical meteorite,"Iron, IIIAB",104000,Found,Found: the meteorite's fall was not observed,1866,-26.000000,-69.250000,"(-26.000000, -69.250000)"
Bear Creek,4982,Valid,Typical meteorite,"Iron, IIIAB",227000,Found,Found: the meteorite's fall was not observed,1866,39.600000,-105.300000,"(39.600000, -105.300000)"
Khetri,12296,Valid,Typical meteorite,H6,100,Fell,Fell: the meteorite's fall was observed ,1867,28.016670,75.816670,"(28.016670, 75.816670)"
Otomi,18045,Valid,Typical meteorite,H,6510,Fell,Fell: the meteorite's fall was observed ,1867,38.400000,140.350000,"(38.400000, 140.350000)"
Tadjera,23778,Valid,Typical meteorite,L5,9000,Fell,Fell: the meteorite's fall was observed ,1867,36.183330,5.416670,"(36.183330, 5.416670)"
Ballarat,4929,Valid,Typical meteorite,"Iron, IAB complex",15,Found,Found: the meteorite's fall was not observed,1867,-37.570830,143.825330,"(-37.570830, 143.825330)"
Auburn,4894,Valid,Typical meteorite,"Iron, IIG",3630,Found,Found: the meteorite's fall was not observed,1867,32.633330,-85.500000,"(32.633330, -85.500000)"
Scottsville,23466,Valid,Typical meteorite,"Iron, IIAB",10000,Found,Found: the meteorite's fall was not observed,1867,36.766670,-86.166670,"(36.766670, -86.166670)"
Cacaria,5188,Valid,Typical meteorite,"Iron, IIIAB",41400,Found,Found: the meteorite's fall was not observed,1867,24.500000,-104.800000,"(24.500000, -104.800000)"
Casas Grandes,5285,Valid,Typical meteorite,"Iron, IIIAB",1545000,Found,Found: the meteorite's fall was not observed,1867,30.400000,-107.800000,"(30.400000, -107.800000)"
Pnompehn,18851,Valid,Typical meteorite,L6,96,Fell,Fell: the meteorite's fall was observed ,1868,11.583330,104.916670,"(11.583330, 104.916670)"
Frankfort (stone),10177,Valid,Typical meteorite,Howardite,650,Fell,Fell: the meteorite's fall was observed ,1868,34.483330,-87.833330,"(34.483330, -87.833330)"
Lodran,14675,Valid,Typical meteorite,Lodranite,1000,Fell,Fell: the meteorite's fall was observed ,1868,29.533330,71.800000,"(29.533330, 71.800000)"
Daniel's Kuil,5513,Valid,Typical meteorite,EL6,1064,Fell,Fell: the meteorite's fall was observed ,1868,-28.200000,24.566670,"(-28.200000, 24.566670)"
Moti-ka-nagla,16759,Valid,Typical meteorite,H6,1500,Fell,Fell: the meteorite's fall was observed ,1868,26.833330,77.333330,"(26.833330, 77.333330)"
Slavetic,23626,Valid,Typical meteorite,H5,1708,Fell,Fell: the meteorite's fall was observed ,1868,45.683330,15.600000,"(45.683330, 15.600000)"
Danville,5514,Valid,Typical meteorite,L6,2000,Fell,Fell: the meteorite's fall was observed ,1868,34.400000,-87.066670,"(34.400000, -87.066670)"
Sauguis,23188,Valid,Typical meteorite,L6,4000,Fell,Fell: the meteorite's fall was observed ,1868,43.150000,-0.850000,"(43.150000, -0.850000)"
Ornans,18030,Valid,Typical meteorite,CO3.4,6000,Fell,Fell: the meteorite's fall was observed ,1868,47.116670,6.150000,"(47.116670, 6.150000)"
Motta di Conti,16762,Valid,Typical meteorite,H4,9150,Fell,Fell: the meteorite's fall was observed ,1868,45.200000,8.500000,"(45.200000, 8.500000)"
Pultusk,18901,Valid,Typical meteorite,H5,250000,Fell,Fell: the meteorite's fall was observed ,1868,52.766670,21.266670,"(52.766670, 21.266670)"
Goalpara,10938,Valid,Typical meteorite,Ureilite,2700,Found,Found: the meteorite's fall was not observed,1868,26.166670,90.600000,"(26.166670, 90.600000)"
Losttown,14715,Valid,Typical meteorite,"Iron, IID",3000,Found,Found: the meteorite's fall was not observed,1868,34.250000,-84.500000,"(34.250000, -84.500000)"
Pevensey,18805,Valid,Typical meteorite,LL5,4300,Found,Found: the meteorite's fall was not observed,1868,-34.783330,144.666670,"(-34.783330, 144.666670)"
San Francisco del Mezquital,23123,Valid,Typical meteorite,"Iron, IIAB",7500,Found,Found: the meteorite's fall was not observed,1868,23.483330,-104.366670,"(23.483330, -104.366670)"
Mount Vernon,16806,Valid,Typical meteorite,"Pallasite, PMG",159000,Found,Found: the meteorite's fall was not observed,1868,36.933330,-87.400000,"(36.933330, -87.400000)"
Yorktown (New York),30370,Valid,Typical meteorite,L5,250,Fell,Fell: the meteorite's fall was observed ,1869,41.283330,-73.816670,"(41.283330, -73.816670)"
Lumpkin,14753,Valid,Typical meteorite,L6,340,Fell,Fell: the meteorite's fall was observed ,1869,32.033330,-84.766670,"(32.033330, -84.766670)"
Angra dos Reis (stone),2302,Valid,Typical meteorite,Angrite,1500,Fell,Fell: the meteorite's fall was observed ,1869,-22.966670,-44.316670,"(-22.966670, -44.316670)"
Krähenberg,12353,Valid,Typical meteorite,LL5,16500,Fell,Fell: the meteorite's fall was observed ,1869,49.326940,7.464720,"(49.326940, 7.464720)"
Hessle,11878,Valid,Typical meteorite,H5,20000,Fell,Fell: the meteorite's fall was observed ,1869,59.850000,17.666670,"(59.850000, 17.666670)"
Tjabe,24011,Valid,Typical meteorite,H6,20000,Fell,Fell: the meteorite's fall was observed ,1869,-7.083330,111.533330,"(-7.083330, 111.533330)"
Kernouve,12284,Valid,Typical meteorite,H6,80000,Fell,Fell: the meteorite's fall was observed ,1869,48.116670,-3.083330,"(48.116670, -3.083330)"
Salt Lake City,23112,Valid,Typical meteorite,H5,875,Found,Found: the meteorite's fall was not observed,1869,40.916670,-111.666670,"(40.916670, -111.666670)"
Shingle Springs,23535,Valid,Typical meteorite,"Iron, ungrouped",39000,Found,Found: the meteorite's fall was not observed,1869,38.666670,-120.933330,"(38.666670, -120.933330)"
Staunton,23716,Valid,Typical meteorite,"Iron, IIIE",43500,Found,Found: the meteorite's fall was not observed,1869,38.216670,-79.050000,"(38.216670, -79.050000)"
Caperr,5263,Valid,Typical meteorite,"Iron, IIIAB",113900,Found,Found: the meteorite's fall was not observed,1869,-45.283330,-70.483330,"(-45.283330, -70.483330)"
Iron Creek,12047,Valid,Typical meteorite,"Iron, IIIAB",175000,Found,Found: the meteorite's fall was not observed,1869,53.000000,-112.000000,"(53.000000, -112.000000)"
Ibbenbüren,11992,Valid,Typical meteorite,Diogenite,2000,Fell,Fell: the meteorite's fall was observed ,1870,52.283330,7.700000,"(52.283330, 7.700000)"
Nedagolla,16935,Valid,Typical meteorite,"Iron, ungrouped",4500,Fell,Fell: the meteorite's fall was observed ,1870,18.683330,83.483330,"(18.683330, 83.483330)"
Cabezo de Mayo,5185,Valid,Typical meteorite,L/LL6,25000,Fell,Fell: the meteorite's fall was observed ,1870,37.983330,-1.166670,"(37.983330, -1.166670)"
Cincinnati,5366,Valid,Typical meteorite,"Iron, IIAB",1500,Found,Found: the meteorite's fall was not observed,1870,39.116670,-84.500000,"(39.116670, -84.500000)"
Ilimaes (iron),12022,Valid,Typical meteorite,"Iron, IIIAB",51700,Found,Found: the meteorite's fall was not observed,1870,-26.000000,-70.000000,"(-26.000000, -70.000000)"
McKinney,15463,Valid,Typical meteorite,L4,150000,Found,Found: the meteorite's fall was not observed,1870,33.183330,-96.716670,"(33.183330, -96.716670)"
Roda,22641,Valid,Typical meteorite,Diogenite,400,Fell,Fell: the meteorite's fall was observed ,1871,42.300000,0.550000,"(42.300000, 0.550000)"
Laborel,12408,Valid,Typical meteorite,H5,3833,Fell,Fell: the meteorite's fall was observed ,1871,44.283330,5.583330,"(44.283330, 5.583330)"
